0,1,2,3,4,5,6,7
Place,Nom et prénom,Nation,Naissance,Club,Temps,Points,Temps de passage
1.,HLALI Kenza,TUN,2014,,,,
,JANFAOUI Samar,TUN,2014,,,,
,JMAEI Isra,TUN,2014,,,,
,ALOUI Rawessi,TUN,2014,CNM,2:11.70,945,32.62 (50 m) - 1:06.45 (100 m) - 1:40.69 (150 m)
2.,BEN SASSI Salma,TUN,2014,,,,
,MHIRSI Lilya,TUN,2014,,,,
,KLITI Hiba Allah,TUN,2014,,,,
,GAIDI Eya,TUN,2014,CNBA,2:14.81,905,33.61 (50 m) - 1:07.89 (100 m)
3.,OMRI Nada,TUN,2014,,,,
,SAKA Howaida,TUN,2014,,,,
,HAMMAMI Mariem,TUN,2015,,,,
,BOUAZIZ Feriel,TUN,2014,EST,2:15.26,899,1:42.70 (50 m) - 1:08.64 (100 m)
4.,KOUSENI Mariem,TUN,2014,,,,
,SAID Sirine,TUN,2014,,,,
,CHAOUACHI Zeineb,TUN,2015,,,,
,ABBASI Emna,TUN,2014,CA,2:15.36,898,33.47 (50 m) - 1:06.77 (100 m) - 1:41.45 (150 m)
5.,HASSEN Mariem,TUN,2014,,,,
,AYADI Fatma,TUN,2014,,,,
,ATTROUS Yasmine,TUN,2014,,,,
,YAHYAOUI Yomna,TUN,2014,ASCNS,2:15.60,895,34.63 (50 m) - 1:08.52 (100 m) - 1:42.88 (150 m)
6.,MEMMI Lina,TUN,2014,,,,
,SRAIRI Maram,TUN,2015,,,,
,BEN GHALBA Beya,TUN,2014,,,,
,REJAIBI Yasmine,TUN,2014,ASM,2:18.85,854,1:08.15 (100 m)
7.,MAAYOUFI Mariem,TUN,2014,,,,
,BALAACI Yasmine,TUN,2014,,,,
,BOUHAMED Nayrouz,TUN,2014,,,,
,ALOULOU Ines,TUN,2014,CMSLS,2:24.86,781,35.56 (50 m) - 1:11.70 (100 m) - 1:50.51 (150 m)
8.,AOUADI Chahd,TUN,2014,,,,
,FETNI Lina,TUN,2014,,,,
,ZAKRAOUI Loujain,TUN,2014,,,,
,ZIDI Mariem,TUN,2014,JSB,2:26.26,764,37.07 (50 m) - 1:14.29 (100 m)
9.,MEJRI Hibatallah,TUN,2014,,,,
,NASR Nadine,TUN,2014,,,,
,KILANI Mays,TUN,2014,,,,
,SARSOUT Mariem,TUN,2014,OLYMPICA,2:28.91,733,36.35 (50 m) - 1:11.99 (100 m) - 1:50.27 (150 m)
10.,MASMOUDI Zeineb,TUN,2015,,,,
,AYADI Rana,TUN,2014,,,,
,MEGDICH Mariem,TUN,2015,,,,
,HADJ SALEM Zaineb,TUN,2014,SUC,2:34.77,667,38.77 (50 m) - 1:19.05 (100 m) - 2:02.03 (150 m)
11.,RAZKI Hanin,TUN,2014,,,,
,ASSIDI Rimes,TUN,2014,,,,
,MNASRIA Mariem,TUN,2014,,,,
,HELALI Ranim,TUN,2014,ASMT,2:38.68,625,2:13.57 (50 m) - 1:15.04 (100 m)
12.,AJIMI Syrine,TUN,2014,,,,
,JENDOUBI Chadha,TUN,2014,,,,
,SASSI Ilen,TUN,2015,,,,
,ABDELAOUI Yasmine,TUN,2015,CSUIP,2:39.95,611,36.90 (50 m) - 1:19.68 (100 m) - 1:59.56 (150 m)
13.,GUESMI Rawen,TUN,2015,,,,
,YAAKOUB Fayrouza,TUN,2015,,,,
,AKRAOUI Fatma,TUN,2014,,,,
,BALTI Lina,TUN,2014,MSM,2:41.47,596,44.27 (50 m) - 1:22.63 (100 m) - 2:04.79 (150 m)
14.,SAMTI Mariem,TUN,2014,,,,
,BOUBAKER Mariem,TUN,2015,,,,
,TRABELSI Lina,TUN,2015,,,,
,BEN DHAOUIA Aicha,TUN,2015,ACADEMIE DE NATATION,2:43.54,574,32.71 (50 m) - 1:22.15 (100 m) - 2:05.99 (150 m)
15.,BAYOUMI Mayar,TUN,2014,,,,
,BAIILI Nadine,TUN,2015,,,,
,ABESSI Balkiss,TUN,2015,,,,
,GABSI Aicha,TUN,2015,STADE TUNISIEN,2:57.33,442,48.97 (50 m) - 1:28.96 (100 m) - 2:11.60 (150 m)
N.C.,CHOUCHEN Yasmine,TUN,2014,,,,
,NSIBI Zeineb,TUN,2014,,,,
,KASMI Nour,TUN,2014,,,,
,ZRIBI Balkis,TUN,2014,AQUARIUM,Disqual.,0,
